# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] PTR_HeapFree_6fdd91a4 @ 6fdd91a4 (4 xrefs)
[ ] PTR_GetCurrentThreadId_6fdd91d0 @ 6fdd91d0 (4 xrefs)
[ ] PTR_GetModuleHandleA_6fdd91e0 @ 6fdd91e0 (4 xrefs)
[ ] PTR_GetTickCount_6fdd91fc @ 6fdd91fc (4 xrefs)
[ ] DAT_6fdd95a4 @ 6fdd95a4 (4 xrefs)
[ ] s_item3_6fdda9d4 @ 6fdda9d4 (4 xrefs)
[ ] s_item2_6fdda9f4 @ 6fdda9f4 (4 xrefs)
[ ] s_item1_6fddaa14 @ 6fddaa14 (4 xrefs)
[ ] s_Green_6fddaee0 @ 6fddaee0 (4 xrefs)
[ ] DAT_6fddda80 @ 6fddda80 (4 xrefs)
[ ] s_enabled_6fdde9b0 @ 6fdde9b0 (4 xrefs)
[ ] s_group_6fddeb3c @ 6fddeb3c (4 xrefs)
[ ] DAT_6fddf4e8 @ 6fddf4e8 (4 xrefs)
[ ] s_%s\%s_6fddf8e0 @ 6fddf8e0 (4 xrefs)
[ ] s_..\Source\D2Common\WayPoint\Wayp_6fde0118 @ 6fde0118 (4 xrefs)
[ ] s_..\Source\D2Common\DRLG\OutRoom._6fde3168 @ 6fde3168 (4 xrefs)
[ ] s_..\Source\D2Common\COMPOSIT\Comp_6fde33d0 @ 6fde33d0 (4 xrefs)
[ ] DAT_6fde4dc4 @ 6fde4dc4 (4 xrefs)
[ ] DAT_6fde4dc8 @ 6fde4dc8 (4 xrefs)
[ ] DAT_6fde4dd4 @ 6fde4dd4 (4 xrefs)
[ ] DAT_6fde4ddc @ 6fde4ddc (4 xrefs)
[ ] DAT_6fde4de8 @ 6fde4de8 (4 xrefs)
[ ] DAT_6fde4dec @ 6fde4dec (4 xrefs)
[ ] DAT_6fde4df0 @ 6fde4df0 (4 xrefs)
[ ] DAT_6fde4df4 @ 6fde4df4 (4 xrefs)
[ ] DAT_6fde4df8 @ 6fde4df8 (4 xrefs)
[ ] DAT_6fde4dfc @ 6fde4dfc (4 xrefs)
[ ] DAT_6fde4e00 @ 6fde4e00 (4 xrefs)
[ ] DAT_6fde4e04 @ 6fde4e04 (4 xrefs)
[ ] DAT_6fde4e08 @ 6fde4e08 (4 xrefs)
[ ] s_..\Source\D2Common\DATATBLS\TokT_6fde505c @ 6fde505c (4 xrefs)
[ ] s_..\Source\D2Hell\SRC\Archive.cpp_6fde6edc @ 6fde6edc (4 xrefs)
[ ] PTR_DAT_6fde9308 @ 6fde9308 (4 xrefs)
[ ] PTR_FUN_6fde9be8 @ 6fde9be8 (4 xrefs)
[ ] DAT_6fdeb238 @ 6fdeb238 (4 xrefs)
[ ] PTR_FUN_6fdeb258 @ 6fdeb258 (4 xrefs)
[ ] s_lit_des_hvy_6fdee248 @ 6fdee248 (4 xrefs)
[ ] DAT_6fdef5e8 @ 6fdef5e8 (4 xrefs)
[ ] DAT_6fdef770 @ 6fdef770 (4 xrefs)
[ ] DAT_6fdef778 @ 6fdef778 (4 xrefs)
[ ] DAT_6fdef888 @ 6fdef888 (4 xrefs)
[ ] DAT_6fdef8e4 @ 6fdef8e4 (4 xrefs)
[ ] g_newHandlerEnabled @ 6fdef968 (4 xrefs)
[ ] DAT_6fdefba0 @ 6fdefba0 (4 xrefs)
[ ] DAT_6fdefba8 @ 6fdefba8 (4 xrefs)
[ ] DAT_6fdefbb4 @ 6fdefbb4 (4 xrefs)
[ ] DAT_6fdefbc4 @ 6fdefbc4 (4 xrefs)
[ ] DAT_6fdefd88 @ 6fdefd88 (4 xrefs)
[ ] DAT_6fdefda4 @ 6fdefda4 (4 xrefs)
[ ] StorePageTableHandle @ 6fdefeec (4 xrefs)
[ ] HitClassTableHandle @ 6fdefefc (4 xrefs)
[ ] DAT_6fdeff54 @ 6fdeff54 (4 xrefs)
[ ] DAT_6fdeff58 @ 6fdeff58 (4 xrefs)
[ ] DAT_6fdeff64 @ 6fdeff64 (4 xrefs)
[ ] DAT_6fdeff70 @ 6fdeff70 (4 xrefs)
